Date,Category,Amount,Description
2018-01-01,Income,1000,Salary
2018-01-01,Income,200,Interest
2018-01-01,Expense,500,Food
2018-01-01,Expense,300,Transport
2018-01-01,Expense,100,Entertainment
2018-01-01,Expense,50,Shopping
2018-01-01,Expense,100,Other
2018-01-02,Income,1000,Salary
2018-01-02,Income,200,Interest
2018-01-02,Expense,500,Food
2018-01-02,Expense,300,Transport
2018-01-02,Expense,100,Entertainment
2018-01-02,Expense,50,Shopping
2018-01-02,Expense,100,Other
2018-01-03,Income,1000,Salary
2018-01-03,Income,200,Interest
2018-01-03,Expense,500,Food
2018-01-03,Expense,300,Transport
2018-01-03,Expense,100,Entertainment
2018-01-03,Expense,50,Shopping
2018-01-03,Expense,100,Other
2018-01-04,Income,1000,Salary
2018-01-04,Income,200,Interest
2018-01-04,Expense,500,Food
2018-01-04,Expense,300,Transport
2018-01-04,Expense,100,Entertainment
2018-01-04,Expense,50,Shopping
2018-01-04,Expense,100,Other
2018-01-05,Income,1000,Salary
2018-01-05,Income,200,Interest
2018-01-05,Expense,500,Food
2018-01-05,Expense,300,Transport
2018-01-05,Expense,100,Entertainment
2018-01-05,Expense,50,Shopping
2018-01-05,Expense,100,Other
2018-01-06,Income,1000,Salary
2018-01-06,Income,200,Interest
2018-01-06,Expense,500,Food
2018-01-06,Expense,300,Transport
2018-01-06,Expense,100,Entertainment
2018-01-06,Expense,50,Shopping
2018-01-06,Expense,100,Other
2018-01-07,Income,1000,Salary
2018-01-07,Income,200,Interest
2018-01-07,Expense,500,Food
2018-01-07,Expense,300,Transport
2018-01-07,Expense,100,Entertainment
2018-01-07,Expense,50,Shopping
2018-01-07,Expense,100,Other
2018-01-08,Income,1000,Salary
2018-01-08,Income,200,Interest
2018-01-08,Expense,500,Food
2018-01-08,Expense,300,Transport
2018-01-08,Expense,100,Entertainment
2018-01-08,Expense,50,Shopping
2018-01-08,Expense,100,Other
2018-01-09,Income,1000,Salary
2018-01-09,Income,200,Interest
2018-01-09,Expense,500,Food
2018-01-09,Expense,300,Transport
2018-01-09,Expense,100,Entertainment
2018-01-09,Expense,50,Shopping
2018-01-09,Expense,100,Other
2018-01-10,Income,1000,Salary
2018-01-10,Income,200,Interest
2018-01-10,Expense,500,Food
2018-01-10,Expense,300,Transport
2018-01-10,Expense,100,Entertainment
2018-01-10,Expense,50,Shopping
2018-01-10,Expense,100,Other
2018-01-11,Income,1000,Salary
2018-01-11,Income,200,Interest
2018-01-11,Expense,500,Food
2018-01-11,Expense,300,Transport
2018-01-11,Expense,100,Entertainment
2018-01-11,Expense,50,Shopping
2018-01-11,Expense,100,Other
2018-01-12,Income,1000,Salary  
2018-01-12,Income,200,Interest
2018-01-12,Expense,500,Food
2018-01-12,Expense,300,Transport
2018-01-12,Expense,100,Entertainment
2018-01-12,Expense,50,Shopping
2018-01-12,Expense,100,Other 
2018-01-13,Income,1000,Salary
2018-01-13,Income,200,Interest
2018-01-13,Expense,500,Food
2018-01-13,Expense,300,Transport
2018-01-13,Expense,100,Entertainment
2018-01-13,Expense,50,Shopping
2018-01-13,Expense,100,Other
2018-01-14,Income,1000,Salary
2018-01-14,Income,200,Interest
2018-01-14,Expense,500,Food
2018-01-14,Expense,300,Transport
2018-01-14,Expense,100,Entertainment
2018-01-14,Expense,50,Shopping
2018-01-14,Expense,100,Other
